ticket_number,issue_date,issue_time,marked_time,rp_state_plate,plate_expiry_date,make,body_style,color,location,route,agency,violation_code,fine_amount,agency_desc,body_style_desc,loc_lat,loc_long,geolocation,color_desc,violation_description,meter_id
1000448820,2022-12-13T00:00:00.000,1620,0000,CA,202205,JEEP,PA,WH,13922 OSBORNE ST,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.2344923,-118.4360021,"{'type': 'Point', 'coordinates': [-118.4360021, 34.2344923]}",,,
1000448831,2022-12-13T00:00:00.000,1625,0000,CA,202210,MAZD,PA,BK,13922 OSBORNE ST,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.2344923,-118.4360021,"{'type': 'Point', 'coordinates': [-118.4360021, 34.2344923]}",BLACK,,
1000448842,2022-12-16T00:00:00.000,1210,0000,CA,202205,HOND,PA,BR,9540 VAN NUYS BLVD,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.24279,-118.450141,"{'type': 'Point', 'coordinates': [-118.450141, 34.24279]}",,,
1000448853,2022-12-19T00:00:00.000,845,0000,CA,202209,LEXU,PA,BK,14650 NOVICE ST,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.243561,-118.450389,"{'type': 'Point', 'coordinates': [-118.450389, 34.243561]}",BLACK,,
1000448864,2022-12-19T00:00:00.000,855,0000,CA,202109,TOYO,PA,GY,14650 NOVICE ST,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.243561,-118.450389,"{'type': 'Point', 'coordinates': [-118.450389, 34.243561]}",GREY,,
1000448875,2022-12-19T00:00:00.000,900,0000,CA,202209,DODG,TR,GY,14662 NOVICE ST,19SL0,1,4000A1,50,WESTERN,TRAILER,34.243561,-118.450389,"{'type': 'Point', 'coordinates': [-118.450389, 34.243561]}",GREY,,
1000448886,2022-12-19T00:00:00.000,905,0000,CA,202203,CHEV,SU,RE,9703 CEDROS AVE,19SL0,1,4000A1,50,WESTERN,,34.246246,-118.452149,"{'type': 'Point', 'coordinates': [-118.452149, 34.246246]}",,,
1000448890,2022-12-19T00:00:00.000,910,0000,CA,202105,JEEP,SU,GY,VESPER/VAN NUYS BL,19SL0,1,4000A1,50,WESTERN,,34.2450868,-118.4502511,"{'type': 'Point', 'coordinates': [-118.4502511, 34.2450868]}",GREY,,
1000448901,2022-12-19T00:00:00.000,915,0000,CA,202211,BMW,PA,BK,VAN NUYS/VESPER,19SL0,1,4000A1,50,WESTERN,PASSENGER CAR,34.1996715,-118.4487824,"{'type': 'Point', 'coordinates': [-118.4487824, 34.1996715]}",BLACK,,
1000448912,2022-12-19T00:00:00.000,920,0000,CA,202311,VOLK,PA,GY,VAN NUYS BLVD/VESPER,19SL0,1,8056E4,93,WESTERN,PASSENGER CAR,34.2450868,-118.4502511,"{'type': 'Point', 'coordinates': [-118.4502511, 34.2450868]}",GREY,,
1000448923,2022-12-19T00:00:00.000,925,0000,CA,202301,HOND,PA,RE,VAN NUYS/VESPER,19SL0,1,8056E4,93,WESTERN,PASSENGER CAR,34.1996715,-118.4487824,"{'type': 'Point', 'coordinates': [-118.4487824, 34.1996715]}",,,
1000448934,2022-12-19T00:00:00.000,930,0000,CA,202307,FORD,SU,SI,VAN NUYS/VESPER,19SL0,1,8056E4,93,WESTERN,,34.1996715,-118.4487824,"{'type': 'Point', 'coordinates': [-118.4487824, 34.1996715]}",,,
